age,is_recid,sex_Female,sex_Male,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,jail_duration
69,0,0,1,0,0,0,0,0,1,0.0
69,0,0,1,0,0,0,0,0,1,0.0
34,1,0,1,1,0,0,0,0,0,10.0
24,1,0,1,1,0,0,0,0,0,1.0
24,1,0,1,1,0,0,0,0,0,1.0
44,0,0,1,0,0,0,0,0,1,1.0
41,1,0,1,0,0,1,0,0,0,6.0
43,0,0,1,0,0,0,0,0,1,0.0
43,0,0,1,0,0,0,0,0,1,0.0
43,0,0,1,0,0,0,0,0,1,0.0
39,0,1,0,0,0,1,0,0,0,2.0
20,0,0,1,0,0,1,0,0,0,33.0
20,0,0,1,0,0,1,0,0,0,33.0
20,0,0,1,0,0,1,0,0,0,33.0
26,0,1,0,0,0,1,0,0,0,1.0
26,0,1,0,0,0,1,0,0,0,1.0
26,0,1,0,0,0,1,0,0,0,1.0
21,1,0,1,0,0,1,0,0,0,0.0
27,0,0,1,0,0,1,0,0,0,1.0
23,1,0,1,1,0,0,0,0,0,4.0
37,0,1,0,0,0,1,0,0,0,0.0
22,0,0,1,0,0,1,0,0,0,0.0
41,0,0,1,1,0,0,0,0,0,0.0
47,1,1,0,0,0,1,0,0,0,14.0
31,1,0,1,1,0,0,0,0,0,3.0
37,0,0,1,0,0,0,1,0,0,0.0
25,0,0,1,1,0,0,0,0,0,1.0
25,0,0,1,1,0,0,0,0,0,1.0
31,1,0,1,0,0,1,0,0,0,1.0
31,1,0,1,0,0,1,0,0,0,1.0
64,1,0,1,1,0,0,0,0,0,1.0
21,1,0,1,1,0,0,0,0,0,3.0
27,1,0,1,0,0,1,0,0,0,0.0
21,0,1,0,0,0,1,0,0,0,1.0
24,1,0,1,1,0,0,0,0,0,1.0
24,1,0,1,0,0,0,1,0,0,0.0
42,0,0,1,0,0,1,0,0,0,104.0
43,0,0,1,0,0,1,0,0,0,1.0
32,0,0,1,0,0,0,0,0,1,1.0
54,0,1,0,1,0,0,0,0,0,110.0
44,0,0,1,1,0,0,0,0,0,0.0
27,1,0,1,1,0,0,0,0,0,17.0
27,1,0,1,1,0,0,0,0,0,17.0
36,0,1,0,0,0,1,0,0,0,0.0
36,0,1,0,0,0,1,0,0,0,0.0
26,1,0,1,1,0,0,0,0,0,0.0
26,1,0,1,1,0,0,0,0,0,0.0
33,1,0,1,1,0,0,0,0,0,37.0
33,1,0,1,1,0,0,0,0,0,37.0
30,1,0,1,0,0,1,0,0,0,44.0
32,1,0,1,1,0,0,0,0,0,1.0
63,0,0,1,1,0,0,0,0,0,1.0
27,0,0,1,0,0,0,1,0,0,0.0
55,0,0,1,0,0,1,0,0,0,2.0
32,0,0,1,1,0,0,0,0,0,92.0
38,0,0,1,1,0,0,0,0,0,165.0
38,0,0,1,1,0,0,0,0,0,165.0
38,0,0,1,1,0,0,0,0,0,165.0
53,0,0,1,0,0,1,0,0,0,5.0
53,0,0,1,0,0,1,0,0,0,5.0
49,1,0,1,0,0,0,0,0,1,3.0
49,1,0,1,0,0,0,0,0,1,3.0
26,0,0,1,0,0,1,0,0,0,12.0
26,0,0,1,0,0,1,0,0,0,12.0
26,0,0,1,0,0,1,0,0,0,12.0
33,1,1,0,0,0,1,0,0,0,11.0
24,1,0,1,0,0,1,0,0,0,1.0
34,1,0,1,1,0,0,0,0,0,33.0
29,0,0,1,0,0,1,0,0,0,-1.0
21,0,1,0,1,0,0,0,0,0,79.0
21,0,1,0,1,0,0,0,0,0,79.0
21,0,1,0,1,0,0,0,0,0,79.0
21,0,1,0,1,0,0,0,0,0,79.0
51,0,0,1,1,0,0,0,0,0,1.0
29,1,0,1,0,0,1,0,0,0,0.0
25,0,0,1,1,0,0,0,0,0,271.0
25,0,0,1,1,0,0,0,0,0,271.0
51,0,1,0,1,0,0,0,0,0,1.0
51,0,1,0,1,0,0,0,0,0,1.0
28,0,0,1,0,0,1,0,0,0,1.0
36,0,0,1,1,0,0,0,0,0,197.0
36,0,0,1,1,0,0,0,0,0,197.0
29,1,0,1,1,0,0,0,0,0,0.0
29,0,0,1,0,0,0,0,0,1,1.0
25,1,0,1,0,0,1,0,0,0,6.0
35,1,0,1,1,0,0,0,0,0,0.0
49,0,0,1,0,0,1,0,0,0,0.0
34,1,0,1,1,0,0,0,0,0,51.0
29,0,0,1,1,0,0,0,0,0,0.0
29,1,0,1,0,0,1,0,0,0,0.0
29,1,0,1,0,0,1,0,0,0,0.0
28,0,1,0,0,0,0,0,0,1,0.0
51,0,0,1,0,0,1,0,0,0,24.0
25,0,0,1,0,0,1,0,0,0,0.0
48,1,0,1,0,0,1,0,0,0,10.0
33,0,0,1,0,0,1,0,0,0,0.0
